No.,企業名,カテゴリ,運営会社,都道府県,住所詳細,担当部署,代表電話,メールアドレス,公式URL,規模・店舗数,主要サービス,営業状況,PRTIMES掲載実績,収集状況,備考
8931,,アロマ・リラクゼーション,,石川県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
8932,,アロマ・リラクゼーション,,石川県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
8933,,アロマ・リラクゼーション,,石川県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
8934,,美容クリニック,,石川県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8935,,美容クリニック,,石川県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8936,,美容クリニック,,石川県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8937,,美容クリニック,,石川県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8938,,美容機器メーカー・ディーラー,,石川県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
8939,,美容機器メーカー・ディーラー,,石川県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
8940,,美容機器メーカー・ディーラー,,石川県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
8941,,化粧品メーカー,,石川県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8942,,化粧品メーカー,,石川県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8943,,化粧品メーカー,,石川県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8944,,化粧品メーカー,,石川県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8945,,ヘアサロン・サロンオーナー,,石川県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
8946,,ヘアサロン・サロンオーナー,,石川県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
8947,,ヘアサロン・サロンオーナー,,石川県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
8948,,ヘアサロン・サロンオーナー,,石川県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
8949,,IT・AI×美容,,石川県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
8950,,IT・AI×美容,,石川県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
8951,,IT・AI×美容,,石川県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
8952,,IT・AI×美容,,石川県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
8953,,IT・AI×美容,,石川県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
8954,,IT・AI×美容,,石川県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
8955,,IT・AI×美容,,石川県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
8956,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8957,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8958,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8959,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8960,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8961,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8962,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8963,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8964,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8965,,エステサロン,,富山県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
8966,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8967,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8968,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8969,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8970,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8971,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8972,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8973,,ネイルサロン,,富山県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
8974,,美容整体・小顔矯正,,富山県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
8975,,美容整体・小顔矯正,,富山県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
8976,,美容整体・小顔矯正,,富山県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
8977,,美容整体・小顔矯正,,富山県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
8978,,美容整体・小顔矯正,,富山県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
8979,,美容鍼灸院,,富山県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
8980,,美容鍼灸院,,富山県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
8981,,美容鍼灸院,,富山県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
8982,,美容鍼灸院,,富山県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
8983,,アロマ・リラクゼーション,,富山県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
8984,,アロマ・リラクゼーション,,富山県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
8985,,アロマ・リラクゼーション,,富山県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
8986,,アロマ・リラクゼーション,,富山県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
8987,,美容クリニック,,富山県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8988,,美容クリニック,,富山県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8989,,美容クリニック,,富山県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8990,,美容クリニック,,富山県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
8991,,美容機器メーカー・ディーラー,,富山県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
8992,,美容機器メーカー・ディーラー,,富山県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
8993,,美容機器メーカー・ディーラー,,富山県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
8994,,化粧品メーカー,,富山県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8995,,化粧品メーカー,,富山県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8996,,化粧品メーカー,,富山県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8997,,化粧品メーカー,,富山県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
8998,,ヘアサロン・サロンオーナー,,富山県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
8999,,ヘアサロン・サロンオーナー,,富山県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
9000,,ヘアサロン・サロンオーナー,,富山県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
9001,,ヘアサロン・サロンオーナー,,富山県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
9002,,IT・AI×美容,,富山県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9003,,IT・AI×美容,,富山県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9004,,IT・AI×美容,,富山県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9005,,IT・AI×美容,,富山県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9006,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9007,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9008,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9009,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9010,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9011,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9012,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9013,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9014,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9015,,エステサロン,,大分県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9016,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9017,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9018,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9019,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9020,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9021,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9022,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9023,,ネイルサロン,,大分県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9024,,美容整体・小顔矯正,,大分県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9025,,美容整体・小顔矯正,,大分県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9026,,美容整体・小顔矯正,,大分県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9027,,美容整体・小顔矯正,,大分県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9028,,美容整体・小顔矯正,,大分県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9029,,美容鍼灸院,,大分県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
9030,,美容鍼灸院,,大分県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
9031,,美容鍼灸院,,大分県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
9032,,美容鍼灸院,,大分県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
9033,,アロマ・リラクゼーション,,大分県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
9034,,アロマ・リラクゼーション,,大分県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
9035,,アロマ・リラクゼーション,,大分県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
9036,,アロマ・リラクゼーション,,大分県,,,,,,,アロマ リラクゼーション関連サービス,営業中（推定）,,未収集,収集元推奨: AEAJ認定サロン一覧 / ホットペッパービューティー
9037,,美容クリニック,,大分県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
9038,,美容クリニック,,大分県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
9039,,美容クリニック,,大分県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
9040,,美容クリニック,,大分県,,,,,,,美容クリニック関連サービス,営業中（推定）,,未収集,収集元推奨: 日本美容外科学会(JSAS)会員 / 各クリニック公式サイト
9041,,美容機器メーカー・ディーラー,,大分県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
9042,,美容機器メーカー・ディーラー,,大分県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
9043,,美容機器メーカー・ディーラー,,大分県,,,,,,,美容機器メーカー ディーラー関連サービス,営業中（推定）,,未収集,収集元推奨: BeautyWorld Japan展示会出展者一覧 / 国税庁法人番号DB
9044,,化粧品メーカー,,大分県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
9045,,化粧品メーカー,,大分県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
9046,,化粧品メーカー,,大分県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
9047,,化粧品メーカー,,大分県,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
9048,,ヘアサロン・サロンオーナー,,大分県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
9049,,ヘアサロン・サロンオーナー,,大分県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
9050,,ヘアサロン・サロンオーナー,,大分県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
9051,,ヘアサロン・サロンオーナー,,大分県,,,,,,,ヘアサロン サロンオーナー関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー / 美容師会 / iタウンページ
9052,,IT・AI×美容,,大分県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9053,,IT・AI×美容,,大分県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9054,,IT・AI×美容,,大分県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9055,,IT・AI×美容,,大分県,,,,,,,IT AI×美容関連サービス,営業中（推定）,,未収集,収集元推奨: スタートアップDB / PRTIMES / 展示会(BeautyTech系)
9056,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9057,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9058,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9059,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9060,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9061,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9062,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9063,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9064,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9065,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9066,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9067,,エステサロン,,宮崎県,,,,,,,エステサロン関連サービス,営業中（推定）,,未収集,収集元推奨: ホットペッパービューティー掲載企業公式サイト / 日本エステティック協会会員
9068,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9069,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9070,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9071,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9072,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9073,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9074,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9075,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9076,,ネイルサロン,,宮崎県,,,,,,,ネイルサロン関連サービス,営業中（推定）,,未収集,収集元推奨: JNA（日本ネイリスト協会）会員 / ホットペッパービューティー
9077,,美容整体・小顔矯正,,宮崎県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9078,,美容整体・小顔矯正,,宮崎県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9079,,美容整体・小顔矯正,,宮崎県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9080,,美容整体・小顔矯正,,宮崎県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9081,,美容整体・小顔矯正,,宮崎県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9082,,美容整体・小顔矯正,,宮崎県,,,,,,,美容整体 小顔矯正関連サービス,営業中（推定）,,未収集,収集元推奨: エキテン・ホットペッパービューティー / iタウンページ「整体」
9083,,美容鍼灸院,,宮崎県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
9084,,美容鍼灸院,,宮崎県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
9085,,美容鍼灸院,,宮崎県,,,,,,,美容鍼灸院関連サービス,営業中（推定）,,未収集,収集元推奨: 日本鍼灸師会地方師会会員名簿 / 鍼灸ポータルサイト
